Title;Rating;Year;Actors;Runtime
Aloko Udapadi;96;(2017);['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris'];113 min
Dag II;94;(2016);['Ozan Agaç', 'Bedii Akin', 'Murat Arkin', 'Eylül Arular'];135 min
Aynabaji;94;(2016);['Chanchal Chowdhury', 'Masuma Rahman Nabila', 'Bijori Barkatullah', 'Partho Barua'];147 min
Wheels;94;(II) (2014);['Donavon Warren', 'Patrick Hume', 'Diana Gettinger', 'Kevin McCorkle'];115 min
The Dark Knight;90;(2008);['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine'];152 min
Ayla: The Daughter of War;89;(2017);['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol'];125 min
Aruvi;89;(2016);['Aditi Balan', 'Padmashri Mohammad Ali', 'Pradeep Anthony', 'Arnold'];130 min
Vikram Vedha;88;(2017);['Vijay Sethupathi', 'Madhavan', 'Kathir', 'Varalaxmi Sarathkumar'];147 min
Drishyam;88;(2013);['Mohanlal', 'Meena', 'Ansiba', 'Esther'];160 min
The Phantom of the Opera at the Royal Albert Hall;88;(2011);['Ramin Karimloo', 'Sierra Boggess', 'Hadley Fraser', 'Wendy Ferguson'];137 min
Inception;88;(2010);['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Ken Watanabe'];148 min
RangiTaranga;86;(2015);['Nirup Bhandari', 'Radhika Chetan', 'Avantika Shetty', 'Sai Kumar'];149 min
Interstellar;86;(2014);['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy'];169 min
Cyborgs: Heroes Never Die;85;(2017);['Vyacheslav Dovzhenko', 'Roman Yasinovsky', 'Andriy Isayenko', 'Viktor Zhdanov'];112 min
Arjun Reddy;85;(2017);['Vijay Deverakonda', 'Shalini Pandey', 'Amit Sharma', 'Rahul Ramakrishna'];182 min
Dhuruvangal Pathinaaru;85;(2016);['Rahman', 'Prakash Raghavan', 'Sharath Kumar', 'Santhosh Krishna'];105 min
Dangal;85;(2016);['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra'];161 min
Thani Oruvan;85;(2015);['Jayam Ravi', 'Arvind Swamy', 'Nayanthara', 'Nassar'];160 min
Ulidavaru Kandanthe;85;(2014);['Kishore Kumar G.', 'Rakshit Shetty', 'Thara', 'Achyuth Kumar'];154 min
Whiplash;85;(2014);['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser'];106 min
The Intouchables;85;(2011);['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot'];112 min
Theeran Adhigaaram Ondru;84;(2017);['Karthi', 'Rakul Preet Singh', 'Abhimanyu Singh', 'Bose Venkat'];157 min
Sairat;84;(2016);['Rinku Rajguru', 'Akash Thosar', 'Arbaz Shaikh', 'Tanaji Galgunde'];174 min
Kimi no na wa.;84;(2016);['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki'];106 min
Jigarthanda;84;(2014);['Siddharth', 'Bobby Simha', 'Lakshmi Menon', 'Nassar'];171 min
Soodhu Kavvum;84;(2013);['Vijay Sethupathi', 'Sanchita Shetty', 'Radha Ravi', 'M.S. Bhaskar'];135 min
Coco;84;(I) (2017);['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach'];105 min
Lucia;84;(I) (2013);['Sathish Neenasam', 'Sruthi Hariharan', 'Achyuth Kumar', 'Sabreen Baker'];135 min
Vishwaroopam;84;(2013);['Pooja Kumar', 'Miles Anderson', 'Kamal Haasan', 'Rahul Bose'];148 min
Django Unchained;84;(2012);['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington'];165 min
